MD,X,Y,Z,TVD,DX,DY,AZIM_TN,INCL,DLS,AZIM_GN
3015,588957.2735,2156628.958,-2777.670241,2814.370241,-221.4765289,784.2083426,346.1645391,44.09736474,3.815497777,345.8809093
3022.5,588955.9411,2156634,-2783.058914,2819.758914,-222.8089483,789.2500801,344.7951646,44.04549115,3.815497777,344.5115348
3030,588954.4896,2156639.005,-2788.451563,2825.151563,-224.2604323,794.2545593,343.4236298,44.01,3.815497777,343.14
3040,588952.4002,2156645.637,-2795.636009,2832.336009,-226.3497589,800.8868481,342.1739928,44.13982328,2.636630959,341.890363
3050,588950.1616,2156652.238,-2802.803849,2839.503849,-228.5883786,807.4883107,340.9304805,44.28320223,2.636630959,340.6468507
3060,588947.7742,2156658.807,-2809.953397,2846.653397,-230.9757648,814.0573938,339.6936298,44.44,2.636630959,339.41
3070,588945.2415,2156665.336,-2817.089892,2853.789892,-233.5085466,820.5860941,338.4673506,44.49692922,2.582714288,338.1837208
3080,588942.5667,2156671.817,-2824.21862,2860.91862,-236.1833349,827.066459,337.2438333,44.56695067,2.582714288,336.9602035
3090,588939.7505,2156678.247,-2831.337974,2868.037974,-238.9995261,833.4970254,336.0236298,44.65,2.582714288,335.74
3100,588936.8531,2156684.636,-2838.46277,2875.16277,-241.8968918,839.8855014,335.7519835,44.47601617,0.774228411,335.4683537
3110,588933.9344,2156690.991,-2845.608802,2882.308802,-244.8155833,846.2404784,335.478655,44.30268018,0.774228411,335.1950252
3120,588930.9945,2156697.312,-2852.775923,2889.475923,-247.7555412,852.5618275,335.2036298,44.13,0.774228411,334.92
3127.5,588928.7291,2156702.028,-2858.147555,2894.847555,-250.0208756,857.2784229,334.057436,44.38567759,3.359096056,333.7738062
3135,588926.3593,2156706.721,-2863.495253,2900.195253,-252.3906939,861.9707961,332.9218754,44.65271171,3.359096056,332.6382456
3142.5,588923.8855,2156711.388,-2868.817869,2905.517869,-254.8644869,866.6379389,331.7971993,44.93089087,3.359096056,331.5135695
3150,588921.3083,2156716.029,-2874.11426,2910.81426,-257.4417233,871.2788488,330.6836298,45.22,3.359096056,330.4
3160,588917.7535,2156722.219,-2881.115388,2917.815388,-260.9964684,877.468809,330.1515523,45.90762455,2.356784433,329.8679225
3170,588914.0998,2156728.448,-2888.030169,2924.730169,-264.6501879,883.6980174,329.6317272,46.59766161,2.356784433,329.3480974
3180,588910.3478,2156734.715,-2894.857301,2931.557301,-268.4021949,889.965303,329.1236298,47.29,2.356784433,328.84
3190,588906.5349,2156741.026,-2901.610612,2938.310612,-272.2150992,896.2757019,329.1608297,47.74998827,1.382417117,328.8771999
3200,588902.6982,2156747.385,-2908.304495,2945.004495,-276.0518133,902.6347621,329.197491,48.20998839,1.382417117,328.9138612
3210,588898.8379,2156753.792,-2914.938518,2951.638518,-279.912089,909.0420723,329.2336298,48.67,1.382417117,328.95
3220,588894.9546,2156760.262,-2921.497548,2958.197548,-283.7953919,915.5122666,329.3900887,49.35312945,2.079788433,329.1064589
3230,588891.049,2156766.81,-2927.966103,2964.666103,-287.7009741,922.0596214,329.5433764,50.03646578,2.079788433,329.2597466
3240,588887.1217,2156773.433,-2934.343234,2971.043234,-291.6282639,928.6831782,329.6936298,50.72,2.079788433,329.41
3247.5,588884.1604,2156778.465,-2939.048617,2975.748617,-294.5895976,933.7148963,329.9160858,51.56440481,3.447957541,329.632456
3255,588881.1838,2156783.567,-2943.6674,2980.3674,-297.5662231,938.8172854,330.1333968,52.40922045,3.447957541,329.849767
3262.5,588878.1925,2156788.739,-2948.198537,2984.898537,-300.5574668,943.9891906,330.3458281,53.25442555,3.447957541,330.0621983
3270,588875.1874,2156793.979,-2952.641002,2989.341002,-303.5626516,949.2294413,330.5536298,54.1,3.447957541,330.27
3280,588871.177,2156801.065,-2958.443603,2995.143603,-307.57299,956.314968,330.9926498,54.96181173,2.799106896,330.70902
3290,588867.1785,2156808.256,-2964.12294,3000.82294,-311.5714861,963.506212,331.4224969,55.82517173,2.799106896,331.1388671
3300,588863.1929,2156815.551,-2969.677506,3006.377506,-315.5570797,970.8012665,331.8436298,56.69,2.799106896,331.56
3310,588859.241,2156822.94,-2975.131432,3011.831432,-319.5090442,978.1899655,332.4404913,57.207231,2.158753488,332.1568615
3320,588855.3431,2156830.413,-2980.509264,3017.209264,-323.4069443,985.6626492,333.0304314,57.72726001,2.158753488,332.7468016
3330,588851.4998,2156837.968,-2985.810154,3022.510154,-327.2501649,993.218139,333.6136298,58.25,2.158753488,333.33
3340,588847.6903,2156845.605,-2991.018045,3027.718045,-331.0597187,1000.854864,333.9283462,58.97925897,2.331521548,333.6447164
3350,588843.8934,2156853.321,-2996.116804,3032.816804,-334.8565567,1008.571105,334.2382789,59.70926979,2.331521548,333.9546491
3360,588840.11,2156861.115,-3001.105494,3037.805494,-338.6399803,1016.365444,334.5436298,60.44,2.331521548,334.26
3370,588836.3574,2156868.984,-3005.999962,3042.699962,-342.3926251,1024.234036,335.0283788,60.95162728,1.990991854,334.7447489
3380,588832.6527,2156876.923,-3010.816234,3047.516234,-346.0972562,1032.173284,335.508335,61.46497819,1.990991854,335.2247052
